The spirit of the dragon strengthens your body, increasing maximum health.;Health  
Your strikes carry the precision of a master calligrapher, increasing critical hit chance.;CritiqualHit  
The wind guides your steps like a dancing crane, boosting movement speed.;Speed  
Your body hardens like jade, reducing incoming damage.;Defence  
The ferocity of the tiger empowers your attacks, increasing damage dealt.;Attack  
The wisdom of the sages grants you faster phase cooldowns.;PhaseCooldown  
The flow of yin and yang stabilizes, extending your phase duration.;PhaseDuration  
The generosity of the heavens blesses you, increasing power-up drop rates.;DropRate  
The essence of the phoenix strengthens all power-ups, amplifying their effects.;PowerUpEffectMultiplier  
The patience of the turtle extends power-up duration, making them last longer.;PowerUpDurationtMultiplier  
The qi of the ancients flows through you, increasing your health reserves.;Health  
The bite of the serpent sharpens your attacks, increasing critical hit chance.;CritiqualHit  
The speed of the white tiger courses through your veins, making you faster.;Speed  
Your skin hardens like dragon scales, increasing your defense.;Defence  
The power of the celestial lion roars in your strikes, increasing attack strength.;Attack  
The whispers of old masters guide you, shortening your phase cooldown.;PhaseCooldown  
The harmony of the lotus extends your phase duration, allowing for longer action time.;PhaseDuration  
Fallen enemies now leave behind greater offerings, increasing power-up drop rates.;DropRate  
Your connection to the spirit world amplifies all power-ups' effects.;PowerUpEffectMultiplier  
The steady breath of a monk prolongs the duration of power-ups.;PowerUpDurationtMultiplier  
The resilience of the mountain increases your maximum health.;Health  
The clarity of the moon grants you sharper strikes, boosting critical hits.;CritiqualHit  
The swiftness of the red fox blesses you, increasing movement speed.;Speed  
Your body is as unyielding as steel, enhancing your defense.;Defence  
The wrath of the war god fuels your attacks, increasing damage.;Attack  
The blessings of the celestial dragon shorten your phase cooldown.;PhaseCooldown  
The energy of the mystic koi lengthens your phase duration.;PhaseDuration  
The mercy of the Bodhisattva increases the frequency of power-up drops.;DropRate  
The chi of the white crane empowers all power-ups, strengthening their effects.;PowerUpEffectMultiplier  
The tranquility of the flowing river extends the duration of power-ups.;PowerUpDurationtMultiplier  
The sacred turtle shell shields you, increasing your defense.;Defence  
The force of the monsoon empowers your blows, increasing attack strength.;Attack  
The spirits of the ancestors guide your movements, increasing speed.;Speed  
The protection of the jade emperor blesses you, increasing your maximum health.;Health  
The unseen forces of fate make power-ups drop more frequently.;DropRate  
The might of the ox grants you resilience, improving your defense.;Defence  
The blessing of the qilin enhances all power-up effects, making them stronger.;PowerUpEffectMultiplier  
The balance of yin and yang stabilizes your energy, prolonging power-up duration.;PowerUpDurationtMultiplier  
The cunning of the monkey god sharpens your reflexes, increasing speed.;Speed  
Your hands move like falling cherry blossoms, increasing critical hit chance.;CritiqualHit  
The grace of the celestial deer increases your health.;Health  
